File below(listA) below(listI) below(treeA) below(treeI) below(regexA) below(regexI) below(treeOA) below(treeOI) below(regexOA) below(regexOI) above(listA) above(listI) above(treeA) above(treeI) above(regexA) above(regexI) above(treeOA) above(treeOI) above(regexOA) above(regexOI)
set_7_sites_2_iterations_1000_result.csv 1000 1000 1000 141 1000 999 1000 157 1000 1000 0 0 0 1 0 1 0 1 0 0
set_7_sites_3_iterations_10_result.csv 10 10 10 0 10 10 10 0 10 10 0 0 0 5 0 0 0 6 0 0
set_7_sites_3_iterations_100_result.csv 100 100 100 0 100 100 100 0 100 100 0 0 0 54 0 0 0 53 0 0
set_7_sites_3_iterations_1000_result.csv 1000 1000 1000 474 1000 1000 1000 0 1000 1000 0 0 0 1 0 0 0 523 0 0
set_7_sites_5_iterations_10_result.csv 10 10 10 9 10 10 10 10 10 10 0 0 0 1 0 0 0 0 0 0
set_7_sites_5_iterations_100_result.csv 100 100 99 99 100 100 100 99 100 100 0 0 1 1 0 0 0 0 0 0
set_7_sites_5_iterations_1000_result.csv 1000 1000 999 997 1000 933 985 0 1000 999 0 0 1 1 0 67 15 15 0 1
set_7_sites_10_iterations_10_result.csv 10 10 10 10 10 10 10 3 10 0 0 0 0 0 0 0 0 0 0 10
set_7_sites_10_iterations_100_result.csv 100 100 100 100 100 100 100 42 100 100 0 0 0 0 0 0 0 0 0 0
set_7_sites_10_iterations_1000_result.csv 1000 967 1000 466 1000 978 991 990 1000 1000 0 33 0 2 0 22 9 9 0 0
set_7_sites_20_iterations_10_result.csv 10 1 0 0 0 0 0 0 0 0 0 2 7 1 10 10 10 0 10 10
set_7_sites_20_iterations_100_result.csv 100 100 100 100 100 100 100 100 100 100 0 0 0 0 0 0 0 0 0 0
set_7_sites_20_iterations_1000_result.csv 1000 964 997 923 1000 999 999 987 1000 990 0 36 3 76 0 1 1 13 0 10
set_7_sites_30_iterations_10_result.csv 0 0 10 10 0 0 9 0 10 10 10 10 0 0 10 10 1 0 0 0
set_7_sites_30_iterations_100_result.csv 0 0 99 0 40 43 0 0 33 33 100 100 1 0 60 56 100 100 67 67
set_7_sites_30_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 1000 1000 1000 0 0 0 1 0 0 0 0 0 0
set_7_sites_100_iterations_10_result.csv 10 10 10 10 10 10 10 10 9 6 0 0 0 0 0 0 0 0 1 4
set_7_sites_100_iterations_100_result.csv 100 100 97 0 100 96 97 0 99 95 0 0 3 3 0 4 3 6 1 5
set_7_sites_100_iterations_1000_result.csv 995 979 978 0 976 949 976 0 986 946 5 21 21 64 24 51 24 59 14 54
set_8_sites_1_iterations_10_result.csv 10 10 10 5 10 9 10 5 10 10 0 0 0 1 0 1 0 5 0 0
set_8_sites_1_iterations_100_result.csv 100 100 99 65 100 99 100 60 100 100 0 0 1 35 0 1 0 40 0 0
set_8_sites_1_iterations_1000_result.csv 1000 1000 999 625 1000 999 1000 587 1000 1000 0 0 1 375 0 1 0 413 0 0
set_8_sites_2_iterations_10_result.csv 3 0 1 1 0 0 1 1 9 9 7 7 9 1 10 10 9 0 1 1
set_8_sites_2_iterations_100_result.csv 100 100 100 100 100 100 59 59 100 100 0 0 0 0 0 0 0 0 0 0
set_8_sites_2_iterations_1000_result.csv 0 0 0 0 3 0 150 150 0 0 1000 1000 1000 1000 997 997 3 3 1000 1000
set_8_sites_3_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 4 10 10 10 3 10 10
set_8_sites_3_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 32 100 100 100 34 100 100
set_8_sites_3_iterations_1000_result.csv 989 989 999 999 996 995 999 999 956 956 10 10 1 0 4 4 0 0 43 43
set_8_sites_5_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 1 10 10 10 0 10 10
set_8_sites_5_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 0 100 100
set_8_sites_5_iterations_1000_result.csv 0 0 0 0 0 874 0 0 0 0 1000 1000 1000 2 1000 122 1000 3 1000 928
set_8_sites_10_iterations_10_result.csv 0 0 0 5 0 0 0 7 0 0 10 10 10 1 10 10 10 0 10 10
set_8_sites_10_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 27 100 100 100 9 100 100
set_8_sites_10_iterations_1000_result.csv 0 996 982 992 0 400 0 0 0 0 1000 4 18 1 1000 599 1000 2 1000 1000
set_8_sites_20_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_8_sites_20_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 84 100 100
set_8_sites_20_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 860 1000 1000 1000 810 1000 1000
set_8_sites_30_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
